danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature
0.8,0.692,1,-8.105,0,0.221,0.516,1.03e-06,0.228,0.468,92.017,0fm9rzRKkau3aLXGccZbXV,227008,4
0.514,0.625,5,-8.945,0,0.272,0.256,2.1e-05,0.0896,0.787,132.415,4VUNXVIiZmR3qyuPqe6NZ8,148879,5
0.634,0.911,11,-6.182,0,0.104,0.0104,2.61e-06,0.148,0.794,131.974,5Cqd96h4G16XV4Fx2VuTn9,206809,4
0.781,0.75,9,-6.422,0,0.205,0.23,0.0,0.293,0.818,103.021,2013yX7IujgpGJHzz6Qqsi,181016,4
0.657,0.768,8,-4.628,1,0.0507,0.108,0.0,0.144,0.759,75.025,6kls8cSlUyHW2BUOkDJIZE,186223,4
0.652,0.557,1,-5.714,0,0.0318,0.74,0.0,0.124,0.483,150.073,2qxmye6gAegTMjLKEBoR3d,169354,4
0.671,0.525,0,-9.149,1,0.35,0.032,2.31e-06,0.0779,0.371,128.807,1YAB6pOtZ3eyLbFb18UApX,287010,5
0.487,0.553,6,-11.197,0,0.0425,0.209,2.81e-05,0.0992,0.699,126.043,3pJfnBjO3kjudEchcPEDxS,288600,4
0.79,0.762,10,-4.859,1,0.0555,0.0745,0.0,0.101,0.744,98.952,5izmlzt9mbvzuZogW9TXJB,197445,4
0.729,0.615,8,-6.484,1,0.208,0.0551,0.0,0.0933,0.454,141.887,1i6mUXrRh6MLoNeG7q0XjH,165592,4
0.679,0.825,0,-3.759,0,0.044,0.0665,0.0,0.128,0.466,119.946,0Tv9DumSM7K9v4EME1XdsC,202424,4
0.801,0.795,1,-5.115,0,0.0504,0.0417,0.000113,0.0717,0.754,79.028,6QgjcU0zLnzq5OrUoSZ3OK,163253,4
0.921,0.635,1,-4.904,1,0.416,0.0218,0.0,0.0946,0.549,130.028,2rMAtCaTj16NptyVfEIeAC,192540,4
0.716,0.485,0,-9.005,0,0.0378,0.594,0.0,0.059,0.489,140.021,12DSnnw0j2ZdYTgHd9elYj,203286,4
0.744,0.786,7,-7.189,0,0.0378,0.244,0.0,0.0844,0.812,144.96,4s6CntOyuHcXH0oj7rW6tx,213087,4
0.414,0.404,0,-9.928,0,0.0499,0.271,0.0,0.3,0.224,71.105,4u7EnebtmKWzUH433cf5Qv,354320,4
0.539,0.487,1,-9.653,1,0.202,0.309,0.0,0.097,0.375,169.985,0vfB1HhL36tfV8q6LLKtgo,186353,4
0.719,0.528,0,-8.857,0,0.292,0.615,0.0,0.122,0.346,171.937,7xwOv1FJd8iqnCoj3BDjpV,159767,4
0.759,0.73,0,-7.985,0,0.0516,0.145,3.06e-06,0.11,0.74,115.007,7eBqSVxrzQZtK2mmgRG6lC,268434,4
0.866,0.603,1,-6.072,1,0.193,0.32,0.0,0.0716,0.315,129.892,0oa9Tz96GruIbaL6borlXM,156111,4
0.456,0.948,7,-3.399,1,0.0668,0.00296,0.00898,0.104,0.523,152.951,6Fs2nN1jo4PXhGXfbsgTDp,181920,4
0.545,0.853,1,-4.699,1,0.029,0.0364,0.0,0.117,0.525,98.02,7vwXjDrZT2mqiFynlEwwgG,320373,4
0.504,0.503,7,-3.313,1,0.0422,0.388,0.0,0.0608,0.709,195.593,1qfoq1qvZT7VwDVeekCJ97,167373,4
0.831,0.741,0,-5.866,1,0.043,0.68,1.04e-06,0.104,0.787,121.995,7nY4dQPdqg5apceI2xnJRt,220328,4
0.563,0.908,1,-4.428,1,0.0319,0.0388,1.53e-06,0.355,0.67,127.932,6uYSfre2oDrvGBAWEcnr51,216760,4
0.727,0.85,5,-5.728,1,0.0586,0.0125,0.0,0.102,0.796,129.972,7vFmnmcsp41uzBUiw1zxfw,168521,4
0.765,0.535,5,-9.907,1,0.0416,0.14,4.94e-05,0.157,0.864,106.602,7us0EfoX0SIndotw8lngrf,251054,4
0.561,0.771,11,-6.253,0,0.09,0.0692,0.0,0.385,0.531,149.862,5q6vEm0FWQwJVwanUm8rjf,182344,4
0.796,0.817,11,-4.291,1,0.0633,0.523,0.0,0.344,0.68,129.987,1j44jBqva5YwRKsbYF3tPA,178514,4
0.533,0.661,11,-4.924,1,0.0268,0.366,0.0,0.354,0.446,86.978,35KlorpQ6LQVVslvlcu1gN,256107,4
0.636,0.536,9,-7.646,1,0.0432,0.105,0.0,0.135,0.661,116.878,19JvKc2f3ZNblfBSDMDwUF,224280,4
0.857,0.63,4,-7.236,0,0.0728,0.0518,0.0176,0.144,0.191,124.964,2JjDXcC82gp21CV2WxP10k,243840,4
0.363,0.682,2,-5.661,0,0.14,0.263,0.263,0.0842,0.14,87.258,24XLOVBFwlv8bR1eLFeUik,301333,4
0.845,0.659,9,-6.348,1,0.0373,0.159,0.0129,0.0782,0.547,125.965,4JQxGJ8jsKW8pOUVoAgOZr,210952,4
0.396,0.46,4,-6.488,1,0.025,0.353,0.00857,0.125,0.187,170.144,0przIlLCg6sRuRUBEUginM,289667,4
0.846,0.848,5,-4.752,1,0.121,0.104,0.0,0.0837,0.553,91.971,7gL0eIncXB5ELO8BFMR3Uv,214413,4
0.311,0.311,5,-11.516,1,0.0323,0.69,0.0,0.195,0.369,76.951,77uktQePd9IdeMPVWlu1cO,239507,4
0.82,0.591,1,-7.338,1,0.459,0.26,0.0,0.102,0.551,141.888,0RTvfKVdkt10ATfJ8BjMEI,205867,4
0.508,0.964,9,-4.077,1,0.0831,0.00141,0.0,0.197,0.609,134.982,0ve9Tpz8Yw0I4eXhWsy21o,248707,4
0.684,0.823,9,-3.297,0,0.0773,0.0744,0.0,0.111,0.647,91.048,7nKBxz47S9SD79N086fuhn,208163,4
0.523,0.522,0,-6.366,1,0.0367,0.373,0.0,0.0831,0.243,123.482,2GJ9TC1R5yzZ2gYPKGPGyp,253383,4
0.767,0.627,0,-4.096,1,0.0401,0.537,0.0,0.359,0.689,94.028,5i2JGF65pHKSfMEjSMrBC3,172606,4
0.408,0.519,11,-5.813,0,0.143,0.422,0.0,0.103,0.567,178.142,5vlTxb7BP5DWzpw8RgnzxR,209424,4
0.785,0.436,10,-9.802,1,0.0433,0.411,0.0,0.107,0.734,120.103,4Hd5t36BUvthvHUW0uLleb,186413,4
0.59,0.562,8,-7.305,1,0.0378,0.455,0.0,0.124,0.386,145.762,0RZuGwNBvkT0oPDKo5Y1su,218529,4
0.789,0.634,0,-8.039,0,0.0379,0.0516,8.01e-05,0.168,0.653,124.988,5TJlEqhgUK1CCAciUJGShq,171840,4
0.909,0.493,3,-6.688,1,0.0735,0.128,0.000147,0.127,0.844,94.016,3xcCix7Jv1Rp90YVmgo35D,197120,4
0.586,0.632,0,-4.714,1,0.0268,0.427,0.0,0.109,0.391,125.94,0V2axJ946WH1vt9t5SGMLV,288507,4
0.636,0.495,11,-7.474,1,0.0446,0.506,0.0,0.118,0.334,119.779,02hXZxgl6XwtAdK9y2sb6B,179522,4
0.757,0.732,2,-6.269,1,0.195,0.325,0.0,0.186,0.385,111.99,3yI9jZu5AE7y7kUCqfBhCA,201829,4
0.655,0.616,6,-8.67,1,0.173,0.0912,2.44e-05,0.247,0.396,139.971,1PJ1BbGaVmLogYicLKoZix,246857,4
0.477,0.591,7,-5.169,0,0.0594,0.69,0.0,0.103,0.58,184.763,5BgtNz0AsCIIu2pfbCfq5c,274353,3
0.737,0.631,0,-6.976,1,0.0546,0.0334,0.64,0.139,0.666,100.006,65oW8lTB2xfEBfIbagtjAv,212133,4
0.596,0.552,0,-10.278,0,0.097,0.0765,0.334,0.104,0.112,97.949,6zeeWid2sgw4lap2jV61PZ,229320,4
0.714,0.79,5,-3.757,0,0.109,0.317,1.27e-05,0.198,0.904,97.012,7D5vAulNfrQV6xEwzgH0OF,220947,4
